date,Close,High,Low,Open,Volume,Ticker,Target
2015-01-02,24.26105308532715,24.729276225915,23.821677198130857,24.718180216834167,212818400,AAPL,0
2015-01-05,23.57757568359375,24.11015184940222,23.39117495671791,24.030265339880305,257142000,AAPL,1
2015-01-06,23.579795837402344,23.83942615360068,23.21808699514755,23.641929414645052,263188400,AAPL,1
2015-01-07,23.91043281555176,24.01029009442088,23.67743024084012,23.78838352536704,160423600,AAPL,1
2015-01-08,24.829126358032227,24.886822541149925,24.121243847243377,24.238855753255983,237458000,AAPL,1
2015-01-09,24.85575294494629,25.13091659074848,24.456320480868424,25.002210386433102,214798000,AAPL,0
2015-01-12,24.2432918548584,24.99333542358363,24.143434579343243,24.98667849761765,198603200,AAPL,1
2015-01-13,24.458539962768555,25.0310592622604,24.16784292699338,24.727046682372265,268367600,AAPL,0
2015-01-14,24.365345001220703,24.51845940173482,24.076865748230265,24.19669551364108,195826400,AAPL,0
2015-01-15,23.70405960083008,24.42303640937501,23.668555430204687,24.409722557017083,240056000,AAPL,0
2015-01-16,23.519874572753903,23.87270686480466,23.34456819649144,23.75065758607364,314053200,AAPL,1
2015-01-20,24.12568473815918,24.181161385664875,23.633051837426528,23.930405855410857,199599600,AAPL,1
2015-01-21,24.30986785888672,24.644945594224467,24.025825998667734,24.17672254912256,194303600,AAPL,1
2015-01-22,24.94230079650879,24.95783418992754,24.34759107374211,24.467420834263702,215185600,AAPL,1
2015-01-23,25.07100296020508,25.24187026011724,24.749237444378423,24.92010643730321,185859200,AAPL,1
2015-01-26,25.097637176513672,25.37723997831194,25.0310662095228,25.23965727104322,222460000,AAPL,0
2015-01-27,24.2188777923584,24.960046459776805,24.194467939379766,24.9467309171442,382274800,AAPL,1
2015-01-28,25.588048934936523,26.21160761831203,25.588048934936523,26.102872167761888,585908400,AAPL,1
2015-01-29,26.384685516357425,26.44903861019636,25.643516860602407,25.81216628952471,337745600,AAPL,0
2015-01-30,25.99857711791992,26.62879102622777,25.929784923186705,26.273740817813987,334982000,AAPL,1
2015-02-02,26.32477760314941,26.44460736236611,25.758916826474497,26.196073070372567,250956400,AAPL,1
2015-02-03,26.329212188720703,26.426849918332245,26.09842917625348,26.295925868006783,207662800,AAPL,1
2015-02-04,26.531150817871094,26.741963089882017,26.25376758602479,26.295930379029556,280598800,AAPL,1
2015-02-05,26.720516204833984,26.78512329175272,26.56679583596891,26.738337501467665,168984800,AAPL,0
2015-02-06,26.495508193969727,26.78958086394794,26.388571905025536,26.73834016931549,174826400,AAPL,1
2015-02-09,26.671497344970703,26.698230133283797,26.384107972746516,26.41084246075367,155559200,AAPL,1
2015-02-10,27.18390655517578,27.212869353760585,26.76953287234802,26.771759472473963,248034000,AAPL,1
2015-02-11,27.82106208801269,27.829973586883128,27.290840652931514,27.350991145688678,294247200,AAPL,1
2015-02-12,28.173057556152344,28.400296519331267,27.974781388106848,28.08394427058599,297898000,AAPL,1
2015-02-13,28.31118392944336,28.35573972347411,27.992605073009173,28.35573972347411,217088800,AAPL,1
2015-02-17,28.478273391723636,28.712195581677317,28.275540600471142,28.40252649509592,252609600,AAPL,1
2015-02-18,28.676544189453125,28.68991058646957,28.393609654845907,28.43371054558967,179566800,AAPL,0
2015-02-19,28.61639404296875,28.745608222318182,28.58966124703063,28.623077241953283,149449600,AAPL,1
2015-02-20,28.850318908691406,28.850318908691406,28.527285129746105,28.654269321738926,195793600,AAPL,1
2015-02-23,29.63006019592285,29.63006019592285,28.885967770766,28.966169573437323,283896400,AAPL,0
2015-02-24,29.44513893127441,29.76371941769029,29.222356610481487,29.61668227011373,276912400,AAPL,0
2015-02-25,28.692136764526367,29.318158010503875,28.549556199464845,29.30924481303132,298846800,AAPL,1
2015-02-26,29.05527114868164,29.155522517573083,28.206471013004936,28.69213486200234,365150000,AAPL,0
2015-02-27,28.618623733520508,29.08869465356688,28.569611341903236,28.96170707545237,248059200,AAPL,1
2015-03-02,28.75896644592285,29.02407792825173,28.58296992370644,28.79461242996784,192386800,AAPL,1
2015-03-03,28.819129943847656,28.854775941900105,28.53619535831423,28.730018348106007,151265200,AAPL,0
2015-03-04,28.636444091796875,28.863683059023995,28.587435098266678,28.76120507338472,126665200,AAPL,0
2015-03-05,28.16192054748535,28.683230483724483,28.017111665298497,28.64535788829404,226068400,AAPL,1
2015-03-06,28.20425033569336,28.82135681035137,28.12850513867389,28.60525761932152,291368400,AAPL,1
2015-03-09,28.324546813964844,28.865909672478804,27.861159134873525,28.507228266340064,354114000,AAPL,0
2015-03-10,27.738636016845703,28.342376093308992,27.58046072298512,28.16192290025722,275426400,AAPL,0
2015-03-11,27.232908248901367,27.796547203666474,27.203947161394755,27.792092305470877,275756000,AAPL,1
2015-03-12,27.72526741027832,27.825520504346425,27.0970211462915,27.248513237592316,193450800,AAPL,0
2015-03-13,27.533676147460938,27.936913449410877,27.308667146037337,27.71413104821891,207309200,AAPL,1
2015-03-16,27.836652755737305,27.836652755737305,27.37326677942916,27.598275719474515,143497200,AAPL,1
2015-03-17,28.302270889282227,28.3646496774058,27.992603548458405,28.04829913781081,204092400,AAPL,1
2015-03-18,28.620849609375,28.774569979250792,28.153007000698736,28.293359273393268,261083600,AAPL,0
