volume_rank,return_rank,market_std,zscore_vs_market,pol_mean,pol_sum,pos_count,neg_count,neu_count,has_news,High,Low,Open,Ticker,Close,Volume,Target,RAV,volatility,Buy_Sell_Strength,Weighted_Strength,Trend,Returns,Log_returns,AAPL,MSFT,NVDA,TSLA,market_return,rel_return,mean_return_others,divergence
0.5,1.0,0.0691943259545623,1.4196975042441222,0.654776755468977,106.72861114144324,113.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,
0.75,0.5,0.0691943259545623,-0.2907208900366837,0.654776755468977,106.72861114144324,113.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,
0.25,0.75,0.0691943259545623,-0.20210297156595,0.654776755468977,106.72861114144324,113.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,
1.0,0.25,0.0691943259545623,-0.9268736426414884,0.654776755468977,106.72861114144324,113.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,
0.5,1.0,0.0468814253668089,1.262969438792888,0.691076555599769,132.68669867515564,138.0,16.0,38.0,1,280.0299987792969,276.9200134277344,278.1600036621094,AAPL,,,,,,,,,,,,,,,,,,
0.75,0.75,0.0468814253668089,0.1935673222463713,0.691076555599769,132.68669867515564,138.0,16.0,38.0,1,452.3900146484375,435.7000122070313,437.5400085449219,TSLA,,,,,,,,,,,,,,,,,,
0.25,0.5,0.0468814253668089,-0.3366753390185206,0.691076555599769,132.68669867515564,138.0,16.0,38.0,1,492.1199951171875,488.5,489.1000061035156,MSFT,,,,,,,,,,,,,,,,,,
1.0,0.25,0.0468814253668089,-1.1198614220207388,0.691076555599769,132.68669867515564,138.0,16.0,38.0,1,185.72000122070312,183.32000732421875,185.5599975585937,NVDA,,,,,,,,,,,,,,,,,,
0.5,1.0,0.0468814253668089,1.262969438792888,0.6925730517616978,130.8963067829609,137.0,15.0,37.0,1,280.0299987792969,276.9200134277344,278.1600036621094,AAPL,277.17999267578125,,,,,,,,,,,,,,,,,
0.75,0.75,0.0468814253668089,0.1935673222463713,0.6925730517616978,130.8963067829609,137.0,15.0,37.0,1,452.3900146484375,435.7000122070313,437.5400085449219,TSLA,445.1700134277344,,,,,,,,,,,,,,,,,
0.25,0.5,0.0468814253668089,-0.3366753390185206,0.6925730517616978,130.8963067829609,137.0,15.0,37.0,1,492.1199951171875,488.5,489.1000061035156,MSFT,492.0199890136719,,,,,,,,,,,,,,,,,
1.0,0.25,0.0468814253668089,-1.1198614220207388,0.6925730517616978,130.8963067829609,137.0,15.0,37.0,1,185.72000122070312,183.32000732421875,185.5599975585937,NVDA,184.97000122070312,,,,,,,,,,,,,,,,,
0.5,1.0,0.0468814253668089,1.262969438792888,0.6964488841985401,132.32528799772265,139.0,15.0,36.0,1,280.0299987792969,276.9200134277344,278.1600036621094,AAPL,277.17999267578125,32159900.0,,,,,,,,,,,,,,,,
0.75,0.75,0.0468814253668089,0.1935673222463713,0.6964488841985401,132.32528799772265,139.0,15.0,36.0,1,452.3900146484375,435.7000122070313,437.5400085449219,TSLA,445.1700134277344,62187700.0,,,,,,,,,,,,,,,,
0.25,0.5,0.0468814253668089,-0.3366753390185206,0.6964488841985401,132.32528799772265,139.0,15.0,36.0,1,492.1199951171875,488.5,489.1000061035156,MSFT,492.0199890136719,14688300.0,,,,,,,,,,,,,,,,
1.0,0.25,0.0468814253668089,-1.1198614220207388,0.6964488841985401,132.32528799772265,139.0,15.0,36.0,1,185.72000122070312,183.32000732421875,185.5599975585937,NVDA,184.97000122070312,144323400.0,,,,,,,,,,,,,,,,
0.5,1.0,0.0468814253668089,1.262969438792888,0.698961455113179,129.3078691959381,136.0,16.0,33.0,1,280.0299987792969,276.9200134277344,278.1600036621094,AAPL,277.17999267578125,32159900.0,0.0,,,,,,,,,,,,,,,
0.75,0.75,0.0468814253668089,0.1935673222463713,0.698961455113179,129.3078691959381,136.0,16.0,33.0,1,452.3900146484375,435.7000122070313,437.5400085449219,TSLA,445.1700134277344,62187700.0,0.0,,,,,,,,,,,,,,,
0.25,0.5,0.0468814253668089,-0.3366753390185206,0.698961455113179,129.3078691959381,136.0,16.0,33.0,1,492.1199951171875,488.5,489.1000061035156,MSFT,492.0199890136719,14688300.0,0.0,,,,,,,,,,,,,,,
1.0,0.25,0.0468814253668089,-1.1198614220207388,0.698961455113179,129.3078691959381,136.0,16.0,33.0,1,185.72000122070312,183.32000732421875,185.5599975585937,NVDA,184.97000122070312,144323400.0,0.0,,,,,,,,,,,,,,,
0.5,1.0,0.0468814253668089,1.262969438792888,0.699530160135549,128.71354946494102,133.0,15.0,36.0,1,280.0299987792969,276.9200134277344,278.1600036621094,AAPL,277.17999267578125,32159900.0,0.0,51986642.85714286,,,,,,,,,,,,,,
0.75,0.75,0.0468814253668089,0.1935673222463713,0.699530160135549,128.71354946494102,133.0,15.0,36.0,1,452.3900146484375,435.7000122070313,437.5400085449219,TSLA,445.1700134277344,62187700.0,0.0,80911557.14285715,,,,,,,,,,,,,,
0.25,0.5,0.0468814253668089,-0.3366753390185206,0.699530160135549,128.71354946494102,133.0,15.0,36.0,1,492.1199951171875,488.5,489.1000061035156,MSFT,492.0199890136719,14688300.0,0.0,27138157.14285714,,,,,,,,,,,,,,
1.0,0.25,0.0468814253668089,-1.1198614220207388,0.699530160135549,128.71354946494102,133.0,15.0,36.0,1,185.72000122070312,183.32000732421875,185.5599975585937,NVDA,184.97000122070312,144323400.0,0.0,199176857.1428572,,,,,,,,,,,,,,
